Ngày Giao Dịch,Loại Giao Dịch,Nội Dung,Số Lượng,Đơn Giá,Thành Tiền,Kênh/Phân Loại
01/08/2026,Bán Hàng,Chuột Logitech G102,1,450000,450000,Shopee
01/08/2026,Bán Hàng,Chuột Logitech G102,3,450000,1350000,Lazada
02/08/2026,Bán Hàng,Màn Hình LG 24 inch,2,3500000,7000000,Website
03/08/2026,Nhập Hàng,Lô Bàn Phím Keychron (Nhập sỉ),5,1300000,6500000,Nhập Kho
03/08/2026,Bán Hàng,Bàn Phím Keychron K2,2,1850000,3700000,Shopee
05/08/2026,Bán Hàng,Bàn Phím Keychron K2,3,1850000,5550000,Cửa Hàng
05/08/2026,Bán Hàng,Chuột Logitech G102,2,450000,900000,Cửa Hàng
06/08/2026,Nhập Hàng,Lô Chuột Logitech (Nhập sỉ),6,300000,1800000,Nhập Kho
06/08/2026,Bán Hàng,Chuột Logitech G102,3,450000,1350000,Shopee
06/08/2026,Bán Hàng,Màn Hình LG 24 inch,1,3500000,3500000,Lazada
06/08/2026,Chi Phí,Chi phí thuê mặt bằng tháng,1,611000,611000,Chi Phí Marketing
07/08/2026,Bán Hàng,Laptop Acer Aspire,2,12500000,25000000,Shopee
07/08/2026,Bán Hàng,Laptop Acer Aspire,2,12500000,25000000,Website
07/08/2026,Bán Hàng,Bàn Phím Keychron K2,3,1850000,5550000,Website
09/08/2026,Bán Hàng,Màn Hình LG 24 inch,3,3500000,10500000,Cửa Hàng
10/08/2026,Nhập Hàng,Lô Laptop Acer Aspire (Nhập sỉ),6,9500000,57000000,Nhập Kho
13/08/2026,Nhập Hàng,Lô Laptop Acer Aspire (Nhập sỉ),8,9500000,76000000,Nhập Kho
13/08/2026,Nhập Hàng,Lô Chuột Logitech (Nhập sỉ),5,300000,1500000,Nhập Kho
14/08/2026,Bán Hàng,Bàn Phím Keychron K2,2,1850000,3700000,Shopee
15/08/2026,Nhập Hàng,Lô Bàn Phím Keychron (Nhập sỉ),6,1300000,7800000,Nhập Kho
15/08/2026,Bán Hàng,Laptop Acer Aspire,2,12500000,25000000,Lazada
16/08/2026,Bán Hàng,Màn Hình LG 24 inch,3,3500000,10500000,Lazada
17/08/2026,Bán Hàng,Tai Nghe Sony H900N,2,2500000,5000000,Website
17/08/2026,Bán Hàng,Màn Hình LG 24 inch,2,3500000,7000000,Cửa Hàng
18/08/2026,Chi Phí,Chi phí chạy quảng cáo Google Ads,1,4461000,4461000,Chi Phí Marketing
20/08/2026,Bán Hàng,Tai Nghe Sony H900N,1,2500000,2500000,Lazada
20/08/2026,Bán Hàng,Laptop Acer Aspire,3,12500000,37500000,Lazada
20/08/2026,Bán Hàng,Chuột Logitech G102,2,450000,900000,Lazada
21/08/2026,Bán Hàng,Tai Nghe Sony H900N,1,2500000,2500000,Cửa Hàng
21/08/2026,Bán Hàng,Chuột Logitech G102,3,450000,1350000,Shopee
21/08/2026,Bán Hàng,Laptop Acer Aspire,3,12500000,37500000,Lazada
22/08/2026,Chi Phí,Chi phí chạy quảng cáo Facebook Ads,1,3247000,3247000,Chi Phí Vận Hành
22/08/2026,Nhập Hàng,Lô Chuột Logitech (Nhập sỉ),10,300000,3000000,Nhập Kho
22/08/2026,Chi Phí,Chi phí thuê mặt bằng tháng,1,2009000,2009000,Chi Phí Vận Hành
23/08/2026,Bán Hàng,Tai Nghe Sony H900N,3,2500000,7500000,Website
23/08/2026,Bán Hàng,Tai Nghe Sony H900N,3,2500000,7500000,Website
23/08/2026,Bán Hàng,Tai Nghe Sony H900N,1,2500000,2500000,Website
23/08/2026,Chi Phí,Chi phí văn phòng phẩm,1,801000,801000,Chi Phí Marketing
24/08/2026,Bán Hàng,Tai Nghe Sony H900N,1,2500000,2500000,Shopee
25/08/2026,Bán Hàng,Laptop Acer Aspire,2,12500000,25000000,Cửa Hàng
27/08/2026,Bán Hàng,Màn Hình LG 24 inch,3,3500000,10500000,Website
27/08/2026,Bán Hàng,Tai Nghe Sony H900N,1,2500000,2500000,Shopee
27/08/2026,Bán Hàng,Màn Hình LG 24 inch,1,3500000,3500000,Website
27/08/2026,Bán Hàng,Bàn Phím Keychron K2,2,1850000,3700000,Shopee
28/08/2026,Bán Hàng,Laptop Acer Aspire,1,12500000,12500000,Shopee
28/08/2026,Bán Hàng,Tai Nghe Sony H900N,2,2500000,5000000,Website
28/08/2026,Chi Phí,Chi phí thuê mặt bằng tháng,1,882000,882000,Chi Phí Marketing
29/08/2026,Nhập Hàng,Lô Bàn Phím Keychron (Nhập sỉ),6,1300000,7800000,Nhập Kho
29/08/2026,Bán Hàng,Bàn Phím Keychron K2,1,1850000,1850000,Website
30/08/2026,Bán Hàng,Laptop Acer Aspire,1,12500000,12500000,Lazada
